,0,1,2,3,4,5,6,7,8,9,age
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
4.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,3.0,4.0
5.0,4.0,0.0,1.0,1.0,0.0,4.0,4.0,2.0,0.0,1.0,5.0
6.0,7.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,6.0
7.0,5.0,2.0,0.0,4.0,1.0,9.0,4.0,6.0,0.0,0.0,7.0
8.0,5.0,7.0,3.0,9.0,1.0,4.0,6.0,5.0,0.0,5.0,8.0
9.0,7.0,2.0,0.0,17.0,2.0,12.0,10.0,6.0,1.0,6.0,9.0
10.0,16.0,6.0,2.0,17.0,2.0,11.0,12.0,12.0,1.0,15.0,10.0
11.0,13.0,7.0,2.0,44.0,2.0,10.0,17.0,21.0,4.0,23.0,11.0
12.0,18.0,3.0,0.0,45.0,6.0,14.0,34.0,28.0,1.0,15.0,12.0
13.0,28.0,10.0,0.0,61.0,11.0,15.0,63.0,43.0,3.0,18.0,13.0
14.0,23.0,2.0,0.0,85.0,7.0,14.0,96.0,36.0,5.0,17.0,14.0
15.0,34.0,3.0,0.0,103.0,15.0,13.0,125.0,25.0,2.0,27.0,15.0
16.0,37.0,11.0,0.0,57.0,17.0,18.0,127.0,44.0,5.0,23.0,16.0
17.0,55.0,13.0,4.0,70.0,18.0,17.0,139.0,40.0,4.0,35.0,17.0
18.0,119.0,62.0,11.0,98.0,14.0,32.0,184.0,78.0,5.0,58.0,18.0
19.0,175.0,63.0,16.0,187.0,27.0,32.0,186.0,85.0,5.0,80.0,19.0
20.0,128.0,151.0,10.0,169.0,29.0,34.0,162.0,95.0,1.0,83.0,20.0
21.0,108.0,346.0,1.0,127.0,21.0,35.0,135.0,87.0,3.0,78.0,21.0
22.0,118.0,649.0,15.0,127.0,26.0,41.0,114.0,81.0,3.0,87.0,22.0
23.0,149.0,1039.0,11.0,146.0,22.0,39.0,111.0,99.0,5.0,79.0,23.0
24.0,163.0,1110.0,9.0,140.0,26.0,46.0,108.0,73.0,3.0,88.0,24.0
25.0,135.0,965.0,0.0,139.0,25.0,63.0,103.0,86.0,4.0,87.0,25.0
26.0,126.0,680.0,7.0,151.0,30.0,69.0,108.0,107.0,4.0,92.0,26.0
27.0,120.0,494.0,13.0,130.0,30.0,79.0,98.0,104.0,7.0,74.0,27.0
28.0,89.0,410.0,2.0,134.0,21.0,87.0,81.0,98.0,8.0,72.0,28.0
29.0,100.0,311.0,7.0,118.0,22.0,92.0,98.0,81.0,4.0,74.0,29.0
30.0,103.0,282.0,3.0,118.0,29.0,103.0,122.0,95.0,5.0,74.0,30.0
31.0,123.0,244.0,2.0,97.0,28.0,95.0,114.0,89.0,9.0,66.0,31.0
32.0,137.0,232.0,6.0,98.0,37.0,102.0,111.0,118.0,12.0,70.0,32.0
33.0,141.0,227.0,25.0,117.0,33.0,113.0,139.0,107.0,11.0,67.0,33.0
34.0,135.0,222.0,27.0,116.0,50.0,112.0,166.0,109.0,11.0,75.0,34.0
35.0,146.0,205.0,1.0,135.0,52.0,120.0,160.0,146.0,10.0,73.0,35.0
36.0,171.0,239.0,12.0,142.0,59.0,144.0,173.0,151.0,16.0,81.0,36.0
37.0,211.0,269.0,16.0,155.0,55.0,135.0,197.0,141.0,23.0,93.0,37.0
38.0,243.0,256.0,51.0,179.0,77.0,135.0,197.0,171.0,24.0,101.0,38.0
39.0,237.0,242.0,19.0,214.0,69.0,169.0,216.0,188.0,28.0,113.0,39.0
40.0,261.0,233.0,13.0,260.0,81.0,176.0,206.0,202.0,27.0,104.0,40.0
41.0,270.0,232.0,22.0,239.0,83.0,159.0,244.0,227.0,31.0,118.0,41.0
42.0,270.0,210.0,30.0,306.0,96.0,183.0,239.0,229.0,38.0,132.0,42.0
43.0,274.0,197.0,23.0,313.0,96.0,192.0,209.0,227.0,43.0,134.0,43.0
44.0,289.0,193.0,55.0,324.0,91.0,182.0,275.0,251.0,38.0,146.0,44.0
45.0,280.0,190.0,96.0,332.0,109.0,209.0,231.0,260.0,51.0,160.0,45.0
46.0,305.0,223.0,61.0,330.0,132.0,211.0,223.0,271.0,66.0,156.0,46.0
47.0,285.0,163.0,107.0,361.0,150.0,223.0,213.0,245.0,63.0,167.0,47.0
48.0,260.0,160.0,108.0,326.0,131.0,247.0,220.0,248.0,74.0,165.0,48.0
49.0,304.0,166.0,68.0,322.0,154.0,211.0,189.0,227.0,81.0,161.0,49.0
50.0,263.0,143.0,110.0,291.0,135.0,241.0,187.0,211.0,69.0,143.0,50.0
51.0,257.0,133.0,141.0,288.0,171.0,268.0,158.0,225.0,80.0,201.0,51.0
52.0,264.0,128.0,93.0,261.0,158.0,286.0,139.0,225.0,106.0,185.0,52.0
53.0,236.0,112.0,117.0,208.0,159.0,269.0,166.0,198.0,137.0,179.0,53.0
54.0,256.0,107.0,192.0,202.0,167.0,212.0,154.0,207.0,118.0,178.0,54.0
55.0,242.0,77.0,183.0,183.0,185.0,277.0,128.0,193.0,123.0,170.0,55.0
56.0,236.0,79.0,217.0,176.0,160.0,254.0,133.0,187.0,174.0,185.0,56.0
57.0,220.0,58.0,177.0,159.0,186.0,233.0,132.0,178.0,170.0,181.0,57.0
58.0,234.0,65.0,238.0,139.0,196.0,268.0,139.0,174.0,203.0,182.0,58.0
59.0,249.0,31.0,215.0,164.0,211.0,229.0,128.0,176.0,199.0,181.0,59.0
60.0,225.0,26.0,314.0,187.0,223.0,246.0,132.0,174.0,248.0,187.0,60.0
61.0,275.0,10.0,278.0,118.0,253.0,295.0,130.0,182.0,247.0,199.0,61.0
62.0,283.0,19.0,284.0,130.0,276.0,263.0,134.0,168.0,295.0,218.0,62.0
63.0,284.0,9.0,505.0,144.0,280.0,283.0,150.0,188.0,324.0,251.0,63.0
64.0,343.0,7.0,474.0,158.0,347.0,272.0,155.0,198.0,399.0,255.0,64.0
65.0,318.0,7.0,386.0,171.0,380.0,257.0,169.0,212.0,390.0,282.0,65.0
66.0,375.0,1.0,449.0,155.0,406.0,265.0,179.0,214.0,478.0,281.0,66.0
67.0,315.0,6.0,459.0,122.0,435.0,260.0,149.0,195.0,504.0,297.0,67.0
68.0,302.0,4.0,443.0,129.0,380.0,239.0,134.0,145.0,484.0,268.0,68.0
69.0,262.0,2.0,415.0,111.0,388.0,198.0,138.0,120.0,473.0,219.0,69.0
70.0,256.0,2.0,390.0,130.0,353.0,163.0,106.0,143.0,407.0,231.0,70.0
71.0,246.0,1.0,403.0,99.0,307.0,147.0,102.0,98.0,368.0,169.0,71.0
72.0,165.0,0.0,378.0,79.0,276.0,124.0,78.0,89.0,319.0,151.0,72.0
73.0,173.0,0.0,403.0,56.0,233.0,105.0,71.0,80.0,277.0,137.0,73.0
74.0,140.0,0.0,295.0,58.0,244.0,92.0,72.0,75.0,256.0,112.0,74.0
75.0,123.0,0.0,345.0,39.0,185.0,65.0,63.0,46.0,224.0,94.0,75.0
76.0,132.0,0.0,312.0,40.0,200.0,49.0,53.0,35.0,218.0,64.0,76.0
77.0,88.0,1.0,317.0,31.0,182.0,31.0,51.0,29.0,188.0,52.0,77.0
78.0,93.0,2.0,278.0,16.0,157.0,36.0,47.0,17.0,152.0,49.0,78.0
79.0,60.0,0.0,253.0,17.0,129.0,30.0,26.0,18.0,146.0,33.0,79.0
80.0,56.0,0.0,191.0,13.0,121.0,26.0,31.0,19.0,99.0,32.0,80.0
81.0,49.0,0.0,170.0,8.0,96.0,17.0,25.0,13.0,100.0,18.0,81.0
82.0,43.0,1.0,182.0,5.0,97.0,7.0,21.0,8.0,92.0,12.0,82.0
83.0,34.0,0.0,142.0,7.0,70.0,7.0,23.0,7.0,71.0,11.0,83.0
84.0,21.0,0.0,71.0,4.0,88.0,5.0,15.0,5.0,89.0,5.0,84.0
85.0,35.0,0.0,161.0,3.0,77.0,5.0,17.0,3.0,56.0,6.0,85.0
86.0,15.0,0.0,93.0,0.0,48.0,5.0,13.0,0.0,63.0,2.0,86.0
87.0,13.0,1.0,133.0,0.0,52.0,2.0,13.0,1.0,35.0,3.0,87.0
88.0,13.0,0.0,79.0,1.0,50.0,1.0,11.0,0.0,31.0,3.0,88.0
89.0,14.0,0.0,74.0,0.0,54.0,2.0,7.0,0.0,24.0,1.0,89.0
90.0,7.0,0.0,65.0,1.0,26.0,2.0,7.0,0.0,16.0,2.0,90.0
91.0,2.0,0.0,62.0,0.0,23.0,0.0,3.0,0.0,26.0,0.0,91.0
92.0,9.0,0.0,59.0,0.0,20.0,0.0,5.0,0.0,10.0,0.0,92.0
93.0,4.0,0.0,47.0,0.0,23.0,0.0,1.0,0.0,10.0,0.0,93.0
94.0,3.0,0.0,35.0,0.0,17.0,0.0,1.0,0.0,7.0,0.0,94.0
95.0,3.0,0.0,19.0,0.0,16.0,0.0,2.0,0.0,4.0,0.0,95.0
96.0,3.0,0.0,13.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,96.0
97.0,0.0,0.0,13.0,0.0,8.0,0.0,1.0,0.0,7.0,0.0,97.0
98.0,1.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,98.0
99.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,99.0
100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0
101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0
