male_count,female_count,title,female_ratio,male_ratio
5076,10052,Turen går til Hamburg og Nordtyskland,0.000756695460038,0.00100869933626
5053,3076,Danmarks store gør det selv leksikon,0.000231555435244,0.00100412879159
4003,9506,Turen går til Berlin,0.000715593617501,0.000795473491536
3776,6104,Guinness world records. Årgang 2003,0.000459497521694,0.000750364202858
3766,3383,Slagtebænk Dybbøl : 18. april 1864 : historien om et slag,0.000254665811909,0.000748377009524
3759,2938,Dommedag Als : 29. juni 1864 : kampen for Danmarks eksistens,0.00022116705746,0.000746985974191
3682,8829,Turen går til Tyrkiet,0.000664630343879,0.00073168458552
3544,10773,Turen går til London,0.000810970970055,0.000704261317513
3483,7668,Turen går til Norditalien,0.000577232469914,0.000692139438177
3365,6339,Politikens visuelle guide - Berlin,0.000477187875167,0.000668690556837
3352,8418,Turen går til Rom,0.000633691044827,0.000666107205503
3298,2391,Jæger : i krig med eliten,0.000179989936824,0.000655376361501
3261,8130,"Turen går til Mallorca, Menorca & Ibiza",0.00061201095206,0.000648023746165
3211,11555,Sværkeslægten,0.000869838444164,0.000638087779496
3162,5323,Turen går til Sydtyskland,0.000400705325685,0.00062835053216
3148,4135,Kaptajn Dinesen,0.000311274943022,0.000625568461493
3130,2779,Jeg er Zlatan Ibrahimović : min historie,0.000209197839579,0.000621991513492
2847,1624,"Bogen om digital fotografering : lær fiduserne, og tag billeder som profferne!",0.000122251634212,0.000565753942144
2843,4992,Turen går til Midttyskland,0.000375788274623,0.000564959064811
2816,3123,Gyldendal og Politikens Danmarkshistorie,0.000235093505939,0.00055959364281
2793,7111,Turen går til Barcelona og Costa Brava,0.000535302568278,0.000555023098142
2724,5940,"Turen går til Gran Canaria, Fuerteventura & Lanzarote",0.000447151913313,0.000541311464138
2609,4980,Kronvidnet : Hells Angels indefra,0.000374884937424,0.000518458740799
2577,741,"AFA Vesteuropa frimærkekatalog. 1992/93, bind 1. A-L",5.57810720143e-05,0.000512099722131
2548,5482,Turen går til Sydfrankrig,0.000412674543566,0.000506336861463
2544,5348,Turen går til Sydsverige,0.000402587278182,0.000505541984129
